procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 5803852  64200 1354528    0    0  1742   384  401  476  3  3 94  0  0
 0  0      0 5793520  64200 1354572    0    0     0     0  501  372  0  1 99  0  0
 1  0      0 5789236  64200 1354572    0    0     0     0 1785 1838  1  1 98  0  0
 1  0      0 5782436  64208 1354564    0    0     8     0 1271 1045  0  0 99  0  0
 1  0      0 5772104  64208 1354652    0    0     0     0 1095  871  0  0 99  0  0
 1  1      0 5749212  64508 1360556    0    0  3836     0 1820 1851  2  1 97  0  0
 0  0      0 5731092  64712 1367324    0    0  3460   168 3946 4804 11  3 86  0  0
 0  0      0 5720760  64712 1367328    0    0     0     0 1189  768  1  0 98  0  0
 0  0      0 5710680  64712 1367328    0    0     0     0  759  298  0  0 100  0  0
 0  0      0 5700348  64712 1367328    0    0     0     0  912  466  0  0 99  0  0
 1  0      0 5690016  64712 1367248    0    0     0     0  898  387  0  0 100  0  0
 1  0      0 5678940  64712 1367248    0    0     0     4 1169  859  0  0 100  0  0
 1  0      0 5668120  64852 1367732    0    0   544    16 2701 3289  2  2 96  0  0
 1  0      0 5657788  64852 1367764    0    0     0     0 2186 2660  1  1 98  0  0
 0  0      0 5658048  64868 1362776    0    0   128   172 3663 5004  5  3 92  0  0
 0  0      0 5642184  64868 1367788    0    0     0     0 2683 3165 10  2 88  0  0
 0  0      0 5631108  64884 1367908    0    0     0   140 2392 2625  4  2 94  0  0
 1  0      0 5630024  64900 1362632    0    0     0   156 3231 4344  5  2 93  0  0
 1  0      0 5613220  64916 1367844    0    0     0   140 3294 3579 10  2 87  0  0
 0  0      0 5605408  64916 1367924    0    0     0     0  696  288  0  0 99  0  0
 1  0      0 5594836  64916 1367924    0    0     0     0 1353  788  1  0 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 5573948  64936 1368180    0    0    72     0 1297 1531  1  0 98  0  0
 1  0      0 5572952  64940 1368184    0    0    88     4 2472 2958  4  1 95  0  0
 1  0      0 5571956  64956 1362988    0    0     0   164 2708 3022  6  2 92  0  0
 0  0      0 5561876  64956 1362988    0    0     0     0  757  451  0  0 99  0  0
 1  0      0 5548268  64956 1362988    0    0     0     0  795  293  0  0 100  0  0
 0  0      0 5537936  64956 1362988    0    0     0     0  636  236  0  0 100  0  0
 0  0      0 5527604  64956 1362988    0    0     0     0 1293  951  0  1 99  0  0
 0  0      0 5517524  64964 1362988    0    0     0    20  612  493  0  0 100  0  0
 1  0      0 5515256  64964 1362988    0    0     0     0 1306 1102  0  0 99  0  0
 3  0      0 5506940  64964 1362988    0    0     0     0  492  265  0  0 100  0  0
 0  0      0 5496860  64964 1362988    0    0     0     0 1120  773  0  1 99  0  0
 1  0      0 5476448  64964 1362988    0    0     0     0 1236 1135  1  0 99  0  0
 0  0      0 5466116  64964 1362988    0    0     0     4 2363 2030  1  1 98  0  0
 0  0      0 5455784  64972 1362988    0    0     0    12 1533 1550  1  0 98  0  0
 0  0      0 5427068  64988 1368552    0    0   360   244 3557 4639 11  2 86  0  0
 0  0      0 5416988  64988 1368624    0    0     0     0 1517 1421  3  1 96  0  0
 1  0      0 5406656  64988 1368624    0    0     0     0 1377  807  1  1 98  0  0
 0  0      0 5396324  64988 1368624    0    0     0     0 1401  961  1  1 98  0  0
 0  0      0 5386244  64988 1368624    0    0     0     4 1488 1145  1  0 99  0  0
 0  0      0 5375660  64988 1368624    0    0     0     0 2138 2642  3  1 95  0  0
 0  0      0 5364584  64996 1368624    0    0     4    16 3327 4678  6  3 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 5354252  64996 1368640    0    0     0   544 1321 1361  1  1 98  0  0
 0  0      0 5344172  64996 1368640    0    0     0     0 1326 1270  1  1 98  0  0
 0  0      0 5333840  64996 1368644    0    0     0     0 1505 1566  1  1 98  0  0
 1  0      0 5323508  64996 1368644    0    0     0     8 1484 1560  2  1 98  0  0
 3  0      0 5313428  64996 1368644    0    0     0     0 1021  799  1  1 99  0  0
 0  0      0 5303096  65004 1368644    0    0     0    52 1583 1716  1  0 98  0  0
 0  0      0 5292764  65004 1368644    0    0     0     0 1368 1413  2  1 97  0  0
 1  0      0 5282684  65004 1368644    0    0     0     0 1328 1461  1  1 98  0  0
 0  0      0 5272100  65004 1368644    0    0     0     0 1552 1449  1  1 98  0  0
 0  0      0 5261768  65004 1368644    0    0     0     4 1401 1229  1  1 98  0  0
 0  0      0 5251688  65004 1368644    0    0     0     0 1711 1671  2  1 97  0  0
 1  0      0 5240852  65012 1368648    0    0     0    12 1488 1643  2  1 97  0  0
 0  0      0 5230520  65012 1368648    0    0     0     0 1028  733  0  0 99  0  0
 2  0      0 5220188  65024 1368644    0    0     8    36 1700 1996  3  1 96  0  0
 0  0      0 5209856  65040 1368648    0    0     0   152 1842 1874  2  1 97  0  0
 0  0      0 5212780  65056 1363488    0    0     0   164 3145 4247  6  2 92  0  0
 0  0      0 5202840  65056 1363372    0    0     0     0 1472 1174  3  1 96  0  0
 0  0      0 5192460  65060 1363376    0    0     8     0 1552 1347  3  1 96  0  0
 5  0      0 5182216  65060 1363376    0    0     0     0  935  687  1  0 98  0  0
 0  0      0 5172136  65060 1363376    0    0     0     0 1493 1273  1  1 98  0  0
 0  0      0 5162056  65068 1363368    0    0     0    24 1005  732  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 5151724  65068 1363376    0    0     0     0 1185  896  0  0 99  0  0
 0  0      0 5133028  65080 1363604    0    0   232     0 1544 1666  1  1 98  0  0
 4  0      0 5122772  65080 1363604    0    0     0   108  831  527  0  0 99  0  0
 0  0      0 5112440  65080 1363604    0    0     0     0 1089  304  0  0 100  0  0
